,text,cluster_name
8106,你在哪家医院做的 ？,"1,0,0,0,0,0,0,0,0"
13457,好的 吸脂是我们医院的经典项目 每日都有将近12-15位顾客都会在我们医院进行改善调整 而且顾客的满意度以及术后评价都是非常之高的,"0,0,0,0,0,0,0,0,1"
5572,在上海静安区中兴路这边，你电话多少呢，我一会将医院地址路线短信发你手机上，方便查询,"0,1,0,0,0,0,0,0,0"
21120,好的， 7点半下班，可以的，你下班了过来 有时间,"0,0,0,0,0,0,1,0,0"
18799,你的痘印有多久了呢，现在还会长痘　吗？,"0,0,1,0,0,0,0,0,0"
16232,您是是凸的还是平的呢,"0,0,1,0,0,0,0,0,0"
20304,或者您微信是多少呢,"0,0,0,0,1,0,0,0,0"
24189,您留个联系方式，会有相关人员联系您,"0,0,0,0,1,0,0,0,0"
29594,飞顿大Q是利用激光光爆破之后，将色素分两种代谢途径代谢：一种是大部分色素颗粒碎屑被代谢排出体外；另一种是部分色素随炎症反应移行至体表被清除 ,"0,0,0,0,0,0,0,0,1"
11642,具体长哪个部位呢,"0,0,1,0,0,0,0,0,0"
3018,是你自己还是家属  多大年龄,"0,0,0,0,0,1,0,0,0"
3362,你先观察一下   打算在哪家医院生产的话详细咨询那边的医生,"0,1,0,0,0,0,0,0,0"
28316,咱们鹏程医院做了二十多年皮肤治疗，在亚洲很多国家都有皮肤研究基地的,"0,1,0,0,0,0,0,0,0"
23227,您把您和朋友的电话号码发过来,"0,0,0,0,1,0,0,0,0"
6139,哦，我们有医生都住那边的，您有了解过咱们鹏程院吗,"0,1,0,0,0,0,0,0,0"
3382,恩，那你是想解决什么问题呢,"0,0,1,0,0,0,0,0,0"
29292,磨颧骨适用于单纯颧骨局部比较高而颧弓不突出也不高者，由于颧弓位于面部的侧方和颧弓本身厚度所限，对于高颧弓者不适于行磨骨,"0,0,0,0,0,0,0,0,1"
11322,嗯是什么部位皮肤过敏呢,"0,0,1,0,0,0,0,0,0"
3635,1-2万不等 具体需要根据您的实际情况来决定的 建议您 留个电话 去电详细评估病情 根据您的实际情况给出合理的建议,"0,0,0,0,0,0,0,1,0"
3304,您放心  我们医院术后医生都是专业临床出身  可能是没有注意看到您的信息,"0,1,0,0,0,0,0,0,0"
16033,你现在多大了呢   男性还是女性,"0,0,0,0,0,1,0,0,0"
13715,所以我建议您先到医院面诊 看看您皮肤的情况、,"0,0,0,0,0,0,1,0,0"
7613,一般是在1千左右 还有2-3千的 色乳等技术效果都是不同的,"0,0,0,0,0,0,0,1,0"
24713,方便加个微信看看您脸上是什么情况吗,"0,0,0,0,1,0,0,0,0"
3678,现在活动价是680一支的呢 上次我买的是798呢,"0,0,0,0,0,0,0,1,0"
2598,嗯嗯 请问怎么称呼您呢？多大年龄？,"0,0,0,0,0,1,0,0,0"
28732,乳晕漂红的效果立竿见影，恢复乳晕的粉嫩、光泽哦 ,"0,0,0,0,0,0,0,0,1"
26434,主要是在面颊部位还是额头 鼻翼等部位都有呢？,"0,1,0,0,0,0,0,0,0"
22181,稍等给您发预约号和短信地址 收到 亲短信回复一下,"0,1,0,0,0,0,0,0,0"
26582,都是我们鹏程医院的最好建议，   我是鹏程刘助理，您怎么称呼呢,"0,0,0,0,0,1,0,0,0"
11160,我的微信或Q：2081191400，你加我看下孩子的情况更好给你分析,"0,0,0,0,1,0,0,0,0"
20361,您之前有来过咱们医院是吗,"1,0,0,0,0,0,0,0,0"
3116,来院路线可致电咨询13692261640,"0,1,0,0,0,0,0,0,0"
21459,您的电话是多少,"0,0,0,0,1,0,0,0,0"
25522,你现在的身高体重多少呢？,"0,0,0,0,0,1,0,0,0"
4044,您现在的身高体重是多少呢？,"0,0,0,0,0,1,0,0,0"
19835,之前有注射过玻尿酸没有呢,"1,0,0,0,0,0,0,0,0"
24705,好的，我稍后转达,"0,1,0,0,0,0,0,0,0"
16621,恩恩 只要是脂肪的原因 就可以通过吸脂的方式的,"0,1,0,0,0,0,0,0,0"
18851,你电话多少我打给你,"0,0,0,0,1,0,0,0,0"
24488,您好 您的电话号码是？我这边给您致电,"0,0,0,0,1,0,0,0,0"
6854,嗯，您是做的什么手术呢,"0,0,0,0,0,0,0,0,1"
16960,您之前有去医院面诊设计过吗,"1,0,0,0,0,0,0,0,0"
22681,先生还是女士? 怎么称呼？,"0,0,0,0,0,1,0,0,0"
22268,建议先到院面诊检查,"0,1,0,0,0,0,0,0,0"
25039,我稍后详细给您解答清楚,"0,1,0,0,0,0,0,0,0"
3327,你问您的主治医生,"0,1,0,0,0,0,0,0,0"
12482,您是想改善肤色  还是有色斑呢,"0,0,0,0,0,0,1,0,0"
